timestamp,ripeness,depth,object_offset,xmin,ymin,xmax,ymax
1713987642080439806_0,Low Ripeness,427.230272,82.82077400477075,738,162,863,287
1713987642080439806_1,High Ripeness,430.71574246867505,17.460142579791142,597,156,718,280
1713987642080439806_2,High Ripeness,434.7034241531664,-25.72250832577187,516,163,613,275
