timestamp,ripeness,depth,object_offset,xmin,ymin,xmax,ymax
1713988081901307583_0,High Ripeness,571.3753587721684,-4.404899832763691,524,255,701,442
1713988081901307583_1,Low Ripeness,492.32361614289323,194.41044775077307,845,93,1131,342
