timestamp,ripeness,depth,object_offset,xmin,ymin,xmax,ymax
1713988193882064104_0,Low Ripeness,566.7246990172974,-113.13204479082201,303,308,564,547
1713988193882064104_1,Low Ripeness,581.2396405919661,249.4635694256421,910,223,1130,438
1713988193882064104_2,High Ripeness,564.4179841897234,66.75284740561635,638,270,822,468
